Layers,Powder_Hight,SCanPowder_hight_delta,Entity_hight_delta,Entity_hight,,,
276,8.28,0.0599995,0.0299997,8.25,,,
277,8.31,0.0600004,0.0300002,8.28,,,
278,8.34,0.0599995,0.0299997,8.31,,,
279,8.37,0.0599995,0.0299997,8.34,,,
280,8.4,0.0599995,0.0299997,8.37,,,
281,8.43,0.0600004,0.0300002,8.4,,,
282,8.46,0.0600004,0.0300002,8.43,,,
283,8.49,0.0599995,0.0299997,8.46,,,
284,8.52,0.0600004,0.0300002,8.49,,,
285,8.55,0.0600004,0.0300002,8.52,,,
286,8.58,0.0599995,0.0299997,8.55,,,
287,8.61,0.0599995,0.0299997,8.58,,,
288,8.64,0.0600004,0.0300002,8.61,,,
289,8.67,0.0599995,0.0299997,8.64,,,
290,8.7,0.0599995,0.0299997,8.67,,,
291,8.73,0.0599995,0.0299997,8.7,,,
292,8.76,0.0600004,0.0300002,8.73,,,
293,8.79,0.0600004,0.0300002,8.76,,,
294,8.82,0.0599995,0.0299997,8.79,,,
295,8.85,0.0600004,0.0300002,8.82,,,
296,8.88,0.0600004,0.0300002,8.85,,,
297,8.91,0.0599995,0.0299997,8.88,,,
298,8.94,0.0599995,0.0299997,8.91,,,
299,8.97,0.0600004,0.0300002,8.94,,,
300,9,0.0599995,0.0299997,8.97,,,
301,9.03,0.0599995,0.0299997,9,,,
302,9.06,0.0600004,0.0300002,9.03,,,
303,9.09,0.0599995,0.0299997,9.06,,,
304,9.12,0.0599995,0.0299997,9.09,,,
305,9.15,0.0599995,0.0299997,9.12,,,
306,9.18,0.0600004,0.0300002,9.15,,,
307,9.21,0.0600004,0.0300002,9.18,,,
308,9.24,0.0599995,0.0299997,9.21,,,
309,9.27,0.0600004,0.0300002,9.24,,,
310,9.3,0.0600004,0.0300002,9.27,,,
311,9.33,0.0599995,0.0299997,9.3,,,
312,9.36,0.0599995,0.0299997,9.33,,,
313,9.39,0.0600004,0.0300002,9.36,,,
314,9.42,0.0599995,0.0299997,9.39,,,
315,9.45,0.0599995,0.0299997,9.42,,,
316,9.48,0.0599995,0.0299997,9.45,,,
317,9.51,0.0600004,0.0300002,9.48,,,
318,9.54,0.0600004,0.0300002,9.51,,,
319,9.57,0.0599995,0.0299997,9.54,,,
320,9.6,0.0600004,0.0300002,9.57,,,
321,9.63,0.0600004,0.0300002,9.6,,,
322,9.66,0.0599995,0.0299997,9.63,,,
323,9.69,0.0599995,0.0299997,9.66,,,
324,9.72,0.0600004,0.0300002,9.69,,,
325,9.75,0.0599995,0.0299997,9.72,,,
326,9.78,0.0599995,0.0299997,9.75,,,
327,9.81,0.0600004,0.0300002,9.78,,,
328,9.84,0.0599995,0.0299997,9.81,,,
329,9.87,0.0599995,0.0299997,9.84,,,
330,9.9,0.0599995,0.0299997,9.87,,,
331,9.93,0.0600004,0.0300002,9.9,,,
332,9.96,0.0600004,0.0300002,9.93,,,
333,9.99,0.0599995,0.0299997,9.96,,,
334,10.02,0.0600004,0.0300002,9.99,,,
335,10.05,0.0600004,0.0300002,10.02,,,
336,10.08,0.0599995,0.0299997,10.05,,,
337,10.11,0.0599995,0.0299997,10.08,,,
338,10.14,0.0600004,0.0300002,10.11,,,
339,10.17,0.0599995,0.0299997,10.14,,,
340,10.2,0.0599995,0.0299997,10.17,,,
341,10.23,0.0599995,0.0299997,10.2,,,
342,10.26,0.0600004,0.0300002,10.23,,,
343,10.29,0.0600004,0.0300002,10.26,,,
344,10.32,0.0599995,0.0299997,10.29,,,
345,10.35,0.0600004,0.0300002,10.32,,,
346,10.38,0.0600004,0.0300002,10.35,,,
347,10.41,0.0599995,0.0299997,10.38,,,
348,10.44,0.0599995,0.0299997,10.41,,,
349,10.47,0.0600004,0.0300002,10.44,,,
350,10.5,0.0599995,0.0299997,10.47,,,
351,10.53,0.0599995,0.0299997,10.5,,,
352,10.56,0.0600004,0.0300002,10.53,,,
353,10.59,0.0599995,0.0299997,10.56,,,
354,10.62,0.0599995,0.0299997,10.59,,,
355,10.65,0.0599995,0.0299997,10.62,,,
356,10.68,0.0600004,0.0300002,10.65,,,
357,10.71,0.0600004,0.0300002,10.68,,,
358,10.74,0.0599995,0.0299997,10.71,,,
359,10.77,0.0600004,0.0300002,10.74,,,
360,10.8,0.0600004,0.0300002,10.77,,,
361,10.83,0.0599995,0.0299997,10.8,,,
362,10.86,0.0599995,0.0299997,10.83,,,
363,10.89,0.0600004,0.0300002,10.86,,,
364,10.92,0.0599995,0.0299997,10.89,,,
365,10.95,0.0599995,0.0299997,10.92,,,
366,10.98,0.0599995,0.0299997,10.95,,,
367,11.01,0.0600004,0.0300002,10.98,,,
368,11.04,0.0600004,0.0300002,11.01,,,
369,11.07,0.0599995,0.0299997,11.04,,,
370,11.1,0.0600004,0.0300002,11.07,,,
371,11.13,0.0600004,0.0300002,11.1,,,
372,11.16,0.0599995,0.0299997,11.13,,,
373,11.19,0.0599995,0.0299997,11.16,,,
374,11.22,0.0600004,0.0300002,11.19,,,
375,11.25,0.0599995,0.0299997,11.22,,,
376,11.28,0.0599995,0.0299997,11.25,,,
377,11.31,0.0600004,0.0300002,11.28,,,
378,11.34,0.0599995,0.0299997,11.31,,,
379,11.37,0.0599995,0.0299997,11.34,,,
380,11.4,0.0599995,0.0299997,11.37,,,
381,11.43,0.0600004,0.0300002,11.4,,,
382,11.46,0.0600004,0.0300002,11.43,,,
383,11.49,0.0599995,0.0299997,11.46,,,
